    n                h'                l'                k'
          1 -0.1287112988D+01 -0.8954955942D+00 -0.1000000000D+01
          2 -0.9945870591D+00  0.2411251588D-01 -0.3057703360D+00
          3 -0.1054653021D+01  0.7085493677D-01 -0.1962722363D+00
          4 -0.1057783895D+01  0.5958723183D-01 -0.1337905897D+00
          5 -0.1091185915D+01  0.4702627503D-01 -0.1047617976D+00
          6 -0.1149253656D+01  0.3940811757D-01 -0.9034958051D-01
          7 -0.1218363201D+01  0.3499400649D-01 -0.8205733906D-01
          8 -0.1290473661D+01  0.3225123202D-01 -0.7652348967D-01
          9 -0.1361847865D+01  0.3038562458D-01 -0.7239287690D-01
         10 -0.1430981761D+01  0.2902258995D-01 -0.6907768441D-01
         11 -0.1497377458D+01  0.2798156018D-01 -0.6629382122D-01
         12 -0.1560934855D+01  0.2716367080D-01 -0.6388475059D-01
         13 -0.1621715593D+01  0.2650554043D-01 -0.6175536119D-01
         14 -0.1679770379D+01  0.2596800569D-01 -0.5983856019D-01
         15 -0.1735198310D+01  0.2551661917D-01 -0.5808965155D-01
         16 -0.1788088250D+01  0.2512667367D-01 -0.5647488828D-01
         17 -0.1838448069D+01  0.2478452380D-01 -0.5496610314D-01
         18 -0.1886440474D+01  0.2447083426D-01 -0.5354901315D-01
         19 -0.1932084480D+01  0.2417919471D-01 -0.5220607051D-01
         20 -0.1975465902D+01  0.2389862142D-01 -0.5092726303D-01
         21 -0.2016677975D+01  0.2362510597D-01 -0.4970406011D-01
         22 -0.2055800328D+01  0.2335504487D-01 -0.4853059813D-01
         23 -0.2092911079D+01  0.2308664225D-01 -0.4740132374D-01
         24 -0.2128152865D+01  0.2281672671D-01 -0.4631386954D-01
         25 -0.2161524726D+01  0.2254486326D-01 -0.4526257393D-01
         26 -0.2193197725D+01  0.2227090304D-01 -0.4424709694D-01
         27 -0.2223233858D+01  0.2199506362D-01 -0.4326515094D-01
         28 -0.2251723710D+01  0.2171768906D-01 -0.4231416668D-01
         29 -0.2278768719D+01  0.2143842834D-01 -0.4139397501D-01
         30 -0.2304458134D+01  0.2115780855D-01 -0.4050331923D-01
         31 -0.2328863860D+01  0.2087703988D-01 -0.3964052812D-01
         32 -0.2352075825D+01  0.2059646974D-01 -0.3880510746D-01
         33 -0.2374165068D+01  0.2031655277D-01 -0.3799599381D-01
         34 -0.2395210187D+01  0.2003742405D-01 -0.3721238754D-01
         35 -0.2415240628D+01  0.1976097452D-01 -0.3645245192D-01
         36 -0.2434373235D+01  0.1948657808D-01 -0.3571687255D-01
         37 -0.2452661588D+01  0.1921474778D-01 -0.3500454563D-01
         38 -0.2470138749D+01  0.1894586598D-01 -0.3431422677D-01
         39 -0.2486868109D+01  0.1868046254D-01 -0.3364526050D-01
         40 -0.2502887480D+01  0.1841881710D-01 -0.3299702283D-01
         41 -0.2518286621D+01  0.1816080533D-01 -0.3236934909D-01
         42 -0.2533067076D+01  0.1790680733D-01 -0.3176084492D-01
         43 -0.2547293305D+01  0.1765639719D-01 -0.3117147502D-01
         44 -0.2560947326D+01  0.1741163957D-01 -0.3059953091D-01
         45 -0.2574129945D+01  0.1716909588D-01 -0.3004505482D-01
         46 -0.2586883547D+01  0.1693192119D-01 -0.2950810938D-01
         47 -0.2599184804D+01  0.1669911498D-01 -0.2898717545D-01
         48 -0.2611078571D+01  0.1647074835D-01 -0.2848178122D-01
         49 -0.2622557371D+01  0.1624683135D-01 -0.2799082378D-01
         50 -0.2633748552D+01  0.1602642623D-01 -0.2751535693D-01
         51 -0.2644570657D+01  0.1581166471D-01 -0.2705353552D-01
         52 -0.2655084375D+01  0.1560113910D-01 -0.2660516486D-01
         53 -0.2665300638D+01  0.1539499186D-01 -0.2616968989D-01
         54 -0.2675257227D+01  0.1519398761D-01 -0.2574703406D-01
         55 -0.2684929108D+01  0.1499612365D-01 -0.2533583590D-01
         56 -0.2694376846D+01  0.1480232046D-01 -0.2493677291D-01
         57 -0.2703592275D+01  0.1461261792D-01 -0.2454879404D-01
         58 -0.2712606172D+01  0.1442544160D-01 -0.2417198902D-01
         59 -0.2721414366D+01  0.1424317641D-01 -0.2380554528D-01
         60 -0.2730018939D+01  0.1406510266D-01 -0.2344876526D-01
         61 -0.2738442470D+01  0.1389052977D-01 -0.2310165440D-01
         62 -0.2746716891D+01  0.1371874643D-01 -0.2276428465D-01
         63 -0.2754802461D+01  0.1355178392D-01 -0.2243555265D-01
         64 -0.2762755040D+01  0.1338760537D-01 -0.2211578503D-01
         65 -0.2770568167D+01  0.1322674944D-01 -0.2180450065D-01
         66 -0.2778228535D+01  0.1306936392D-01 -0.2150092606D-01
         67 -0.2785769294D+01  0.1291502051D-01 -0.2120538238D-01
         68 -0.2793183919D+01  0.1276371147D-01 -0.2091730207D-01
         69 -0.2800490042D+01  0.1261545720D-01 -0.2063668146D-01
         70 -0.2807681859D+01  0.1247020891D-01 -0.2036299072D-01
         71 -0.2814769974D+01  0.1232785805D-01 -0.2009612930D-01
         72 -0.2821758667D+01  0.1218831239D-01 -0.1983584550D-01
         73 -0.2828651912D+01  0.1205147051D-01 -0.1958190080D-01
         74 -0.2835455825D+01  0.1191727520D-01 -0.1933409488D-01
         75 -0.2842176357D+01  0.1178566123D-01 -0.1909229173D-01
         76 -0.2848814236D+01  0.1165653464D-01 -0.1885621362D-01
         77 -0.2855378479D+01  0.1152990060D-01 -0.1862574552D-01
         78 -0.2861864445D+01  0.1140561438D-01 -0.1840060285D-01
         79 -0.2868282901D+01  0.1128367526D-01 -0.1818072791D-01
